                      TABLE RSKAVE
                          MALE
                           SBPAVE0508
         AGE      <130       130-<140     >=140

          1      116.2      132.7      151.0
          2      114.7      135.2      153.7
          3      116.2      134.9      157.3
          4      118.3      134.6      159.1
          5      117.1      135.0      155.8

                           LDLAVE0508
         AGE      <100     100-<130    >=130

          1       78.7      114.2      151.7
          2       77.0      114.2      156.7
          3       79.5      115.1      155.9
          4       82.3      112.4      149.3
          5       80.5      112.2      148.1

                            SMOKAVE0508
         AGE       NO         ETS       YES

          1        0.0        0.0     10.525
          2        0.0        0.0     10.797
          3        0.0        0.0     11.053
          4        0.0        0.0     12.542
          5        0.0        0.0     12.426

                              HDL0508
         AGE      <40       40-<60       >=60

          1       33.6       47.4       82.5
          2       34.3       48.2       76.3
          3       33.5       48.6       74.1
          4       35.0       47.9       72.1
          5       36.5       49.4       74.8

                           BMIAVE0508
         AGE      <25       25-<30      >=30

          1       22.0       27.2       36.5
          2       22.1       27.4       36.2
          3       21.8       27.3       34.8
          4       21.7       27.6       34.8
          5       22.3       27.1       33.5

                          DiabetAVE
         AGE       Yes        No        Fill

          1        1.0        0.0        0.0
          2        1.0        0.0        0.0
          3        1.0        0.0        0.0
          4        1.0        0.0        0.0
          5        1.0        0.0        0.0
                        FEMALES
                           SBPAVE0508
         AGE      <130       130-<140     >=140

          1      111.5      133.8      150.7
          2      113.7      133.7      155.7
          3      117.0      134.4      156.9
          4      116.7      134.3      160.4
          5      116.8      135.6      164.0

                           LDLAVE0508
         AGE      <100     100-<130    >=130

          1       71.5      111.5      145.5
          2       75.6      113.5      151.7
          3       80.3      114.7      160.8
          4       76.8      113.6      169.2
          5       74.0      116.8      154.9

                           SMOKAVE0508
         AGE        NO        ETS       YES

          1        0.0        0.0      8.697
          2        0.0        0.0     11.899
          3        0.0        0.0     10.878
          4        0.0        0.0     13.650
          5        0.0        0.0      9.626

                              HDL0508
         AGE      <40       40-<60       >=60

          1       33.6       51.8       78.4
          2       34.9       50.5       75.3
          3       34.0       50.7       77.9
          4       36.6       49.9       79.1
          5       37.8       50.8       79.9

                           BMIAVE0508
         AGE      <25       25-<30      >=30

          1       22.0       27.3       38.6
          2       22.4       28.0       38.1
          3       22.3       27.7       38.1
          4       22.6       27.7       36.5
          5       22.1       28.0       34.2

                          Diabetave
         AGE       Yes        No        Fill

          1        1.0        0.0       0.0
          2        1.0        0.0       0.0
          3        1.0        0.0       0.0 
          4        1.0        0.0       0.0
          5        1.0        0.0       0.0

