                             TABLE BETA
                                MALES
                          NON-CVD DEATH (FHS Orig13+ & Off1-7; 7/25/12)
         AGE      sBP       LDL           SMOK       HDL       BMI      Diabetes       STATINS

          1    0.014600    0.000000    0.025400    0.000000   -0.046700    0.859900    0.000000    0.000000
          2    0.011200    0.000000    0.025400    0.000000   -0.046700    0.689000    0.000000    0.000000
          3    0.007800    0.000000    0.025400    0.000000   -0.046700    0.518100    0.000000    0.000000
          4    0.004400    0.000000    0.025400    0.000000   -0.046700    0.347200    0.000000    0.000000
          5    0.001100    0.000000    0.025400    0.000000   -0.046700    0.176300    0.000000    0.000000
          6    0.000000    0.000000    0.025400    0.000000   -0.046700    0.005400    0.000000    0.000000
                           
                CHD in persons free of CHD and STROKE (FHS Orig13+ & Off1-7; 7/23/12; CKD=CVD Kaiser/Go AEM)
         AGE      sBP       LDL           SMOK       HDL       BMI      Diabetes       STATINS
          1    0.021700    0.007734    0.015800   -0.042300    0.000000    0.612000    0.000000    0.000000
          2    0.017600    0.007734    0.015800   -0.035900    0.000000    0.612000    0.000000    0.000000
          3    0.013500    0.007734    0.015800   -0.029600    0.000000    0.612000    0.000000    0.000000
          4    0.009400    0.007734    0.015800   -0.023300    0.000000    0.612000    0.000000    0.000000
          5    0.005300    0.007734    0.015800   -0.016900    0.000000    0.612000    0.000000    0.000000
          6    0.001100    0.007734    0.015800   -0.010600    0.000000    0.612000    0.000000    0.000000
                                   FEMALES
                          NON-CVD DEATH
         AGE      sBP       LDL           SMOK       HDL       BMI      Diabetes       STATINS
          1    0.014600    0.000000    0.025400    0.000000   -0.046700    0.859900    0.000000    0.000000
          2    0.011200    0.000000    0.025400    0.000000   -0.046700    0.689000    0.000000    0.000000
          3    0.007800    0.000000    0.025400    0.000000   -0.046700    0.518100    0.000000    0.000000
          4    0.004400    0.000000    0.025400    0.000000   -0.046700    0.347200    0.000000    0.000000
          5    0.001100    0.000000    0.025400    0.000000   -0.046700    0.176300    0.000000    0.000000
          6    0.000000    0.000000    0.025400    0.000000   -0.046700    0.005400    0.000000    0.000000

                CHD in persons free of CHD and STROKE (FHS Orig13+ & Off1-7; 7/23/12; CKD=CVD Kaiser/Go AEM)
         AGE      sBP       LDL           SMOK       HDL       BMI      Diabetes       STATINS
          1    0.021700    0.007734    0.015800   -0.042300    0.000000    0.612000    0.000000    0.000000
          2    0.017600    0.007734    0.015800   -0.035900    0.000000    0.612000    0.000000    0.000000
          3    0.013500    0.007734    0.015800   -0.029600    0.000000    0.612000    0.000000    0.000000
          4    0.009400    0.007734    0.015800   -0.023300    0.000000    0.612000    0.000000    0.000000
          5    0.005300    0.007734    0.015800   -0.016900    0.000000    0.612000    0.000000    0.000000
          6    0.001100    0.007734    0.015800   -0.010600    0.000000    0.612000    0.000000    0.000000
 







