                             TABLE BETA
                                MALES
                 NON-CHD DEATH in persons free of CHD (OLD JL nonCHD from 2005; NEED TO UPDATE CKD) agecat6 
         AGE      SBP       LDL           SMOK       HDL    AntiHTNMed     Diabetes     IsoDBP       CKD

          1      .0146      0.0          .0254       .0         .0         .8599       .0         0.0000
          2      .0112      0.0          .0254       .0         .0         .6890       .0         0.0000
          3      .0078      0.0          .0254       .0         .0         .5181       .0         0.0000
          4      .0044      0.0          .0254       .0         .0         .3472       .0         0.0000
          5      .0011      0.0          .0254       .0         .0         .1763       .0         0.0000
          6      .0000      0.0          .0254       .0         .0         .0054       .0         0.0000
                           
                          CHD in persons free of CHD (DG July 2012,CKD = CVD Kaiser/Go, IDBP = China/Kelly)
         AGE      SBP        LDL          SMOK        HDL   AntiHTNMed     Diabetes     IsoDBP       CKD
          1      .0338      0.0113       .0158     -0.0423     0.0        0.6120      0.0235      0.4536
          2      .0302      0.0093       .0158     -0.0359     0.0        0.6120      0.0235      0.3728 
          3      .0271      0.0073       .0158     -0.0296     0.0        0.6120      0.0235      0.4435
          4      .0221      0.0053       .0158     -0.0233     0.0        0.6120      0.0235      0.4812 
          5      .0161      0.0033       .0158     -0.0169     0.0        0.6120      0.0235      0.4598
          6      .0161      0.0013       .0158     -0.0106     0.0        0.6120      0.0235      0.4598
                                   FEMALES
                      NON-CHD DEATH in persons free of CHD (OLD JL nonCHD from 2005; NEED TO UPDATE CKD)
         AGE      SBP       LDL           SMOK       HDL    AntiHTNMed     Diabetes     IsoDBP       CKD
          1      .0185      0.0          .0254       .0         .0         .3915       .0         0.0000 
          2      .0148      0.0          .0254       .0         .0         .3915       .0         0.0000
          3      .0110      0.0          .0254       .0         .0         .3915       .0         0.0000
          4      .0013      0.0          .0254       .0         .0         .3915       .0         0.0000
          5      .0013      0.0          .0254       .0         .0         .3915       .0         0.0000
          6      .0000      0.0          .0254       .0         .0         .0054       .0         0.0000 

                          CHD in persons free of CHD (DG July 2012 smk 3/17/08,CKD = CVD Kaiser/Go, IDBP = China/Kelly)
         AGE      SBP        LDL          SMOK        HDL   AntiHTNMed     Diabetes     IsoDBP       CKD
          1      .0319      0.0113       .0158     -0.0423     0.0        0.6120      0.0235      0.4536 
          2      .0303      0.0093       .0158     -0.0359     0.0        0.6120      0.0235      0.3728 
          3      .0265      0.0073       .0158     -0.0296     0.0        0.6120      0.0235      0.4435
          4      .0216      0.0053       .0158     -0.0233     0.0        0.6120      0.0235      0.4812
          5      .0159      0.0033       .0158     -0.0169     0.0        0.6120      0.0235      0.4598
          6      .0159      0.0013       .0158     -0.0106     0.0        0.6120      0.0235      0.4598








